,dates,Blue,Green,Red,NIR,SWIR1,SWIR2,Thermal,qa
0,724402,544,766,792,2293,2091,994,3066,0
1,724418,548,734,766,1628,1397,832,3023,0
2,724626,325,549,436,2352,1608,708,3044,0
3,724706,382,588,564,2002,1809,900,3044,0
4,724722,1393,1483,1496,2375,2069,1415,2913,4
5,725026,315,453,393,2360,1446,630,2995,0
6,725042,864,1066,1014,2675,2162,1492,2857,4
7,725058,391,509,452,2246,1621,729,3026,0
8,725074,365,537,553,2050,1654,841,3023,0
9,725090,390,634,577,2214,1754,872,3027,0
10,725122,830,1036,1003,2477,1968,1094,2886,0
11,725202,362,618,503,2684,1542,685,2970,0
12,725218,801,1001,903,2715,1592,944,2835,4
13,725250,415,715,487,2863,1589,720,3055,0
14,725266,807,1075,931,2863,1761,951,2863,4
15,725282,310,560,475,2746,1446,625,3050,0
16,725298,280,519,365,2696,1410,580,3023,0
17,725314,1174,1392,1268,3366,2318,1440,3022,2
18,725346,1050,1086,991,2241,1618,1032,2951,2
19,725362,320,514,398,2576,1407,608,3007,0
20,725378,296,443,379,2247,1366,605,3017,0
21,725394,314,506,437,2483,1553,647,3034,2
22,725410,388,566,544,2417,1599,762,3012,0
23,725650,237,464,362,2915,1445,589,3078,0
24,725994,1280,1342,1265,2866,1614,996,2353,4
25,726010,364,589,500,2723,1360,643,3042,0
26,726042,751,949,896,3100,1996,1256,3047,0
27,726058,16022,8965,16022,9276,2724,2401,1500,4
28,726074,491,619,628,2794,1540,801,2849,2
29,726106,397,560,488,2487,1466,533,3041,0
30,726370,385,674,514,2776,1326,622,2998,2
31,726378,335,530,356,3038,1375,491,3043,0
32,726386,221,478,337,2830,1331,547,3053,0
33,726394,616,763,706,1820,1281,900,3019,2
34,726402,1369,1608,1421,2736,1757,1004,2940,0
35,726482,355,547,512,2562,1682,791,3009,0
36,726498,363,613,536,2422,1448,630,3005,0
37,726530,2494,2638,2691,3735,3485,2800,2957,4
38,726562,16022,5806,5861,6513,5668,4252,2919,4
39,726578,16022,6450,6483,6766,4868,2925,2724,4
40,726914,391,560,572,2112,1743,917,3038,0
41,726930,691,918,835,2100,1643,981,2797,2
42,726946,616,508,443,459,397,336,2965,1
43,726962,16022,3500,3409,3517,3631,3083,2965,4
44,726978,757,922,898,1810,1372,848,2984,2
45,726994,16022,4055,4092,5223,5174,4109,2937,4
46,727058,16022,5064,5267,5800,5292,4182,2927,4
47,727074,16022,4107,4010,4292,3250,2651,1500,4
48,727090,422,638,552,2707,1648,758,3060,0
49,727138,356,435,362,2570,1332,592,3030,0
50,727154,2766,3146,3118,4628,4312,3775,2916,4
51,727170,3627,3671,3629,3900,2612,1930,2724,4
52,727186,508,640,470,2298,1167,606,2923,0
53,727250,426,563,563,2039,1602,861,2994,0
54,727402,935,1127,1013,2938,1698,923,2949,4
55,728066,476,794,606,3481,1697,758,3057,0
56,728834,445,665,608,2773,1434,658,3031,0
57,728850,334,562,459,2914,1474,626,3097,0
58,728866,657,887,755,2886,1331,637,2833,0
59,728882,2818,2705,2767,3452,3148,2793,2154,4
60,728898,243,477,330,2781,1310,501,3055,0
61,728914,3123,3413,3460,4861,4189,3519,2915,4
62,728946,16022,16022,16022,16022,16022,4644,2778,4
